Prov,Dpto,Jard,Pob_Jard,Prim,Pob_Prim,Sec,Pob_Sec
Santiago del Estero,FIGUEROA,52.0,2127,68.0,2803,26.0,2471
Santiago del Estero,ALBERDI,37.0,2298,59.0,2854,18.0,2369
Santiago del Estero,GENERAL TABOADA,42.0,4772,53.0,6042,10.0,5394
Santiago del Estero,AVELLANEDA,30.0,2758,52.0,3527,26.0,3231
Santiago del Estero,JUAN F IBARRA,31.0,2152,47.0,3004,15.0,2585
Santiago del Estero,CHOYA,40.0,3746,47.0,5276,30.0,4520
Santiago del Estero,LORETO,53.0,2243,45.0,3051,29.0,2561
Santiago del Estero,OJO DE AGUA,29.0,1392,44.0,1714,10.0,1633
Santiago del Estero,QUEBRACHOS,27.0,1286,43.0,1585,12.0,1324
Santiago del Estero,ROBLES,46.0,5435,39.0,7173,24.0,5982
Santiago del Estero,SALAVINA,29.0,1294,39.0,1746,19.0,1654
Santiago del Estero,JIMENEZ,27.0,1847,38.0,2376,31.0,2055
Santiago del Estero,SAN MARTIN,27.0,1183,36.0,1602,19.0,1480
Santiago del Estero,ATAMISQUI,26.0,1520,26.0,2168,14.0,1880
Santiago del Estero,GUASAYAN,18.0,900,23.0,1095,12.0,941
Santiago del Estero,SILIPICA,14.0,861,16.0,1173,14.0,1076
Santiago del Estero,SARMIENTO,9.0,533,16.0,722,8.0,624
Santiago del Estero,RIVADAVIA,12.0,487,16.0,649,3.0,539
Santiago del Estero,AGUIRRE,10.0,804,13.0,1064,6.0,941
Santiago del Estero,BELGRANO,7.0,1033,12.0,1293,5.0,1074
Santiago del Estero,MITRE,5.0,112,9.0,143,4.0,160
Tierra del Fuego,TOLHUIN,3.0,581,3.0,832,2.0,662
Tucumán,CAPITAL,229.0,44089,138.0,60342,144.0,50598
Tucumán,CRUZ ALTA,96.0,21071,76.0,29374,52.0,23883
Tucumán,LEALES,75.0,5678,71.0,7892,43.0,6716
Tucumán,BURRUYACU,56.0,4330,57.0,6034,39.0,4942
Tucumán,SIMOCA,52.0,3132,52.0,4427,28.0,3591
Tucumán,TAFI VIEJO,67.0,15052,48.0,21744,39.0,17829
Tucumán,CHICLIGASTA,47.0,7651,41.0,10719,31.0,8977
Tucumán,MONTEROS,42.0,6523,38.0,9280,24.0,7910
Tucumán,LULES,36.0,8542,31.0,12694,23.0,9951
Tucumán,YERBA BUENA,38.0,8420,31.0,11860,26.0,10036
Tucumán,GRANEROS,30.0,1434,30.0,1880,18.0,1613
Tucumán,RIO CHICO,34.0,5525,30.0,7740,26.0,6483
Tucumán,TRANCAS,25.0,2185,25.0,2854,19.0,2478
Tucumán,TAFI DEL VALLE,23.0,1828,24.0,2606,11.0,2135
Tucumán,FAMAILLA,25.0,4239,23.0,5489,15.0,4607
Tucumán,JUAN B ALBERDI,21.0,2908,19.0,4124,13.0,3462
Tucumán,LA COCHA,17.0,1894,18.0,2557,13.0,2282
