Provincia,Departamento,Cant_BP,Cant_EE,Poblacion
Córdoba,SAN ALBERTO,2,105,42029
Buenos Aires,25 DE MAYO,1,104,35411
Santiago del Estero,COPO,2,103,35653
Córdoba,JUAREZ CELMAN,3,102,68317
Tucumán,BURRUYACU,0,102,45459
Jujuy,EL CARMEN,4,101,122259
Buenos Aires,CAÑUELAS,2,101,70542
Chaco,ALMIRANTE BROWN,0,101,37794
Santa Fe,SAN MARTIN,12,99,67299
Buenos Aires,TRES ARROYOS,10,99,61889
Entre Ríos,DIAMANTE,3,99,52312
Catamarca,LA PAZ,2,99,26341
Jujuy,SAN PEDRO,6,98,88237
Santa Fe,9 DE JULIO,3,97,30942
Corrientes,ESQUINA,1,97,39168
Santiago del Estero,MORENO,0,97,40352
Río Negro,ADOLFO ALSINA,5,96,63845
Santiago del Estero,FIGUEROA,0,96,20246
Buenos Aires,LINCOLN,7,95,45191
Buenos Aires,9 DE JULIO,2,95,52366
Buenos Aires,CHACABUCO,2,94,52409
Buenos Aires,CORONEL SUAREZ,3,93,41713
Santa Fe,CASEROS,10,92,86261
Chaco,MAYOR LUIS J FONTANA,3,92,59798
Santa Fe,CONSTITUCION,17,90,93000
Entre Ríos,VICTORIA,0,90,40301
Mendoza,LAVALLE,3,89,47086
Buenos Aires,SAN VICENTE,2,89,97929
Buenos Aires,BALCARCE,1,89,48516
Buenos Aires,PEHUAJO,4,88,44594
Catamarca,TINOGASTA,1,88,25254
Tucumán,CHICLIGASTA,1,88,92308
Entre Ríos,COLON,6,87,74890
Chaco,QUITILIPI,3,87,32430
Corrientes,SANTO TOME,2,87,71922
Buenos Aires,BOLIVAR,4,86,37194
Catamarca,SANTA MARIA,2,86,26822
Buenos Aires,CHASCOMUS,0,86,42191
Chubut,BIEDMA,7,85,102806
Salta,ANTA,5,85,69442
Entre Ríos,GUALEGUAY,2,85,56796
Santiago del Estero,CHOYA,2,85,43692
Mendoza,GENERAL ALVEAR,4,84,52379
Santiago del Estero,AVELLANEDA,3,84,25462
San Juan,RIVADAVIA,8,83,101334
Buenos Aires,GENERAL VILLEGAS,5,83,35055
Santiago del Estero,LORETO,1,83,24047
Santa Fe,SAN JUSTO,6,82,46486
Buenos Aires,LOBOS,4,82,41418
Corrientes,CURUZU CUATIA,2,82,51489
Buenos Aires,SALADILLO,1,82,35423
Formosa,PILAGAS,0,82,19089
Buenos Aires,BERISSO,7,81,100685
Santiago del Estero,ROBLES,4,81,53879
Entre Ríos,FEDERAL,2,81,29436
Tucumán,SIMOCA,0,81,36946
Corrientes,LAVALLE,1,80,40406
Santiago del Estero,ALBERDI,1,80,20104
Jujuy,LEDESMA,4,78,94132
Buenos Aires,BARADERO,3,77,39223
Chubut,FUTALEUFU,2,77,49965
Chaco,MAIPU,0,77,26354
Buenos Aires,LA COSTA,6,76,100400
Buenos Aires,SAN ANDRES DE GILES,1,76,26399
Misiones,APOSTOLES,1,76,50503
Tucumán,MONTEROS,5,75,77469
San Luis,AYACUCHO,3,75,23653
Corrientes,BELLA VISTA,1,75,44369
Buenos Aires,CORONEL DE MARINA L ROSALES,4,74,65823
Santiago del Estero,GENERAL TABOADA,3,74,46304
San Juan,JACHAL,1,74,25269
Mendoza,SAN CARLOS,5,72,39752
Misiones,MONTECARLO,4,72,38620
Entre Ríos,TALA,2,72,31091
Santiago del Estero,JIMENEZ,1,72,18622
Buenos Aires,VILLARINO,4,71,32552
Córdoba,ISCHILIN,2,71,36023
Misiones,SAN JAVIER,2,71,23080
Buenos Aires,AYACUCHO,1,71,21757
Córdoba,PRESIDENTE ROQUE SAENZ PEÑA,3,70,37551
La Rioja,CHILECITO,3,70,58681
Mendoza,RIVADAVIA,2,69,63589
San Juan,POCITO,1,69,72879
Chaco,BERMEJO,3,68,28060
Mendoza,TUNUYAN,3,68,59972
Buenos Aires,MARCOS PAZ,1,68,64761
Buenos Aires,PATAGONES,1,68,37499
Corrientes,ITUZAINGO,1,68,38767
Tucumán,YERBA BUENA,1,68,102589
La Pampa,MARACO,6,67,69067
Corrientes,MERCEDES,5,67,49807
San Juan,CHIMBAS,2,67,103772
Santiago del Estero,JUAN F IBARRA,1,67,20567
Corrientes,MONTE CASEROS,7,66,45602
Corrientes,GENERAL PAZ,3,66,17016
Tucumán,RIO CHICO,2,66,64927
Buenos Aires,LAS FLORES,1,66,27136
Tucumán,LULES,0,66,93464
Córdoba,GENERAL ROCA,5,65,36064
Catamarca,CAPAYAN,4,65,19471
Buenos Aires,GENERAL ALVARADO,2,65,45307
Corrientes,CONCEPCION,2,65,26270
Chubut,CUSHAMEN,7,64,28099
Mendoza,JUNIN,3,64,46472
Chaco,25 DE MAYO,1,64,32606
Buenos Aires,PRESIDENTE PERON,0,64,101994
Chaco,9 DE JULIO,4,63,30223
Buenos Aires,LOBERIA,2,63,18106
Buenos Aires,NAVARRO,2,63,19888
San Juan,CAUCETE,1,63,44017
Formosa,LAISHI,2,62,19275
Santiago del Estero,SALAVINA,0,62,12775
Misiones,CANDELARIA,4,61,34945
Buenos Aires,BRANDSEN,3,61,32350
Chaco,CHACABUCO,3,61,34493
Corrientes,PASO DE LOS LIBRES,3,61,56778
Jujuy,HUMAHUACA,2,61,20877
Córdoba,RIO SECO,1,61,15275
Buenos Aires,MAGDALENA,1,60,22653
Buenos Aires,MAR CHIQUITA,1,60,32973
Chaco,O HIGGINS,1,60,21544
San Juan,SARMIENTO,1,60,27188
Santa Fe,SAN JAVIER,3,59,33180
Buenos Aires,SAN ANTONIO DE ARECO,2,59,26695
Santiago del Estero,OJO DE AGUA,2,59,15008
Córdoba,TULUMBA,1,59,14092
San Juan,25 DE MAYO,0,59,20824
San Luis,JUNIN,7,58,40289
Buenos Aires,BRAGADO,4,58,46227
Buenos Aires,CARLOS CASARES,3,58,22905
Río Negro,AVELLANEDA,6,57,41160
Buenos Aires,SALTO,2,57,39257
Buenos Aires,GENERAL JUAN MADARIAGA,1,57,22566
Corrientes,SALADAS,1,57,29126
Santiago del Estero,SAN MARTIN,0,57,11183
Buenos Aires,CORONEL PRINGLES,1,56,24110
Catamarca,ANDALGALA,1,56,19545
Corrientes,EMPEDRADO,1,56,17948
Santiago del Estero,QUEBRACHOS,1,56,12336
Buenos Aires,ENSENADA,5,55,63978
Catamarca,SANTA ROSA,3,55,13317
Jujuy,YAVI,2,55,25831
Corrientes,SAN LUIS DEL PALMAR,1,55,21381
Buenos Aires,EXALTACION DE LA CRUZ,0,55,40036
San Luis,BELGRANO,2,53,5575
Salta,SANTA VICTORIA,1,53,9411
Córdoba,TOTORAL,0,53,22473
Buenos Aires,ADOLFO ALSINA,2,52,17344
Neuquén,ZAPALA,2,52,45540
Buenos Aires,ROJAS,1,52,25619
Chaco,12 DE OCTUBRE,1,52,23179
Mendoza,MALARGUE,1,52,32596
Tucumán,GRANEROS,1,52,15539
Formosa,MATACOS,0,52,17017
La Rioja,ROSARIO VERA PEÑALOZA,0,52,15764
Santa Fe,BELGRANO,6,51,48544
Buenos Aires,RAUCH,2,51,16491
Buenos Aires,ARRECIFES,1,51,32077
Buenos Aires,DAIREAUX,0,51,18328
Buenos Aires,RAMALLO,4,50,39648
Buenos Aires,ROQUE PEREZ,1,50,13901
Catamarca,EL ALTO,1,50,4375
Corrientes,SAN COSME,1,50,19679
Salta,ROSARIO DE LERMA,1,50,50961
Tucumán,TRANCAS,1,50,23438
Buenos Aires,TORNQUIST,4,49,14591
Buenos Aires,CORONEL DORREGO,3,49,15795
Chaco,SARGENTO CABRAL,3,49,18696
Jujuy,COCHINOCA,3,49,14998
Buenos Aires,CARLOS TEJEDOR,2,49,14007
Salta,METAN,2,49,48028
Buenos Aires,GENERAL ALVEAR,1,49,10150
Buenos Aires,RIVADAVIA,1,49,19735
La Rioja,CHAMICAL,1,49,15630
San Luis,LIBERTADOR GRL SAN MARTIN,1,49,4691
Chaco,INDEPENDENCIA,0,49,21948
Buenos Aires,MONTE,2,48,24616
Jujuy,PALPALA,4,47,65522
Corrientes,SAN ROQUE,2,47,22682
Mendoza,SANTA ROSA,2,47,19379
Tucumán,FAMAILLA,2,47,42669
Buenos Aires,CARMEN DE ARECO,1,47,17345
Chaco,SAN LORENZO,1,47,16045
Buenos Aires,GENERAL PAZ,0,47,14141
San Luis,CHACABUCO,6,46,26522
Buenos Aires,PUAN,3,46,16391
Buenos Aires,SAAVEDRA,3,46,21407
Salta,GENERAL GUEMES,3,46,55746
Buenos Aires,DOLORES,1,46,31405
Mendoza,TUPUNGATO,1,46,41168
La Rioja,GENERAL SAN MARTIN,0,46,5017
Catamarca,VALLE VIEJO,4,45,33951
Salta,ROSARIO DE LA FRONTERA,2,45,33750
Buenos Aires,GUAMINI,5,44,11662
San Juan,SANTA LUCIA,4,44,62697
San Luis,CORONEL PRINGLES,4,44,16044
Catamarca,POMAN,3,44,12219
San Juan,VALLE FERTIL,2,44,8425
Buenos Aires,COLON,1,44,27406
Buenos Aires,TAPALQUE,1,44,10695
La Rioja,GENERAL OCAMPO,0,44,7347
Neuquén,LACAR,4,43,39567
Buenos Aires,GENERAL VIAMONTE,2,43,22530
Santiago del Estero,ATAMISQUI,1,43,14894
Corrientes,SAN MARTIN,0,43,15164
Entre Ríos,FELICIANO,0,42,16717
Río Negro,SAN ANTONIO,4,41,35473
La Rioja,GENERAL BELGRANO,2,40,7615
Entre Ríos,ISLAS DEL IBICUY,1,40,13984
Buenos Aires,GENERAL BELGRANO,0,40,20674
Catamarca,ANCASTI,0,40,3282
Córdoba,MINAS,0,40,4855
Buenos Aires,VILLA GESELL,2,39,37325
Tucumán,TAFI DEL VALLE,2,39,22382
Buenos Aires,GENERAL LA MADRID,1,39,11535
