provincia,nombre_depto,cantidad_bp,cantidad_ee_comun,poblacion_total,bp_cada_1000,ee_cada_1000
San Luis,GOBERNADOR DUPUY,2,52.0,14334,0.14,3.63
Santa Fe,VERA,8,1160.0,55463,0.14,20.91
Buenos Aires,CARLOS CASARES,3,174.0,22905,0.13,7.6
Neuquén,LONCOPUE,1,17.0,7696,0.13,2.21
Santa Fe,SAN JUSTO,6,492.0,46486,0.13,10.58
Mendoza,SAN CARLOS,5,360.0,39752,0.13,9.06
San Luis,AYACUCHO,3,225.0,23653,0.13,9.51
Chaco,9 DE JULIO,4,252.0,30223,0.13,8.34
Chaco,GENERAL DONOVAN,2,76.0,15061,0.13,5.05
Salta,SAN CARLOS,1,28.0,7779,0.13,3.6
Santiago del Estero,OJO DE AGUA,2,118.0,15008,0.13,7.86
Buenos Aires,ADOLFO ALSINA,2,104.0,17344,0.12,6.0
Catamarca,VALLE VIEJO,4,180.0,33951,0.12,5.3
Buenos Aires,RAUCH,2,102.0,16491,0.12,6.19
Buenos Aires,MONTE HERMOSO,1,13.0,8444,0.12,1.54
Neuquén,PICUNCHES,1,18.0,8471,0.12,2.12
Santa Fe,BELGRANO,6,306.0,48544,0.12,6.3
Río Negro,25 DE MAYO,2,66.0,16555,0.12,3.99
Santa Fe,CASEROS,10,920.0,86261,0.12,10.67
Buenos Aires,VILLARINO,4,284.0,32552,0.12,8.72
Buenos Aires,GENERAL ARENALES,2,68.0,16231,0.12,4.19
Chaco,2 DE ABRIL,1,23.0,8310,0.12,2.77
Santiago del Estero,AVELLANEDA,3,252.0,25462,0.12,9.9
Buenos Aires,TRES LOMAS,1,20.0,9090,0.11,2.2
Salta,SANTA VICTORIA,1,53.0,9411,0.11,5.63
Santa Fe,CASTELLANOS,21,5271.0,189464,0.11,27.82
Corrientes,GENERAL ALVEAR,1,22.0,9051,0.11,2.43
Chaco,BERMEJO,3,204.0,28060,0.11,7.27
Buenos Aires,BOLIVAR,4,344.0,37194,0.11,9.25
Río Negro,SAN ANTONIO,4,164.0,35473,0.11,4.62
Buenos Aires,LOBERIA,2,126.0,18106,0.11,6.96
Misiones,CANDELARIA,4,244.0,34945,0.11,6.98
Buenos Aires,RAMALLO,4,200.0,39648,0.1,5.04
Jujuy,HUMAHUACA,2,122.0,20877,0.1,5.84
Buenos Aires,LOBOS,4,328.0,41418,0.1,7.92
Córdoba,MARCOS JUAREZ,11,1815.0,107286,0.1,16.92
Corrientes,MERCEDES,5,335.0,49807,0.1,6.73
Chubut,RAWSON,14,2268.0,144420,0.1,15.7
Entre Ríos,SAN SALVADOR,2,66.0,20786,0.1,3.18
Formosa,LAISHI,2,124.0,19275,0.1,6.43
Misiones,CONCEPCION,1,37.0,10303,0.1,3.59
Santa Fe,GENERAL LOPEZ,21,4956.0,200455,0.1,24.72
Buenos Aires,GENERAL ALVEAR,1,49.0,10150,0.1,4.83
Corrientes,SAUCE,1,36.0,10382,0.1,3.47
Misiones,MONTECARLO,4,288.0,38620,0.1,7.46
Santa Fe,9 DE JULIO,3,291.0,30942,0.1,9.4
Buenos Aires,TANDIL,14,2464.0,144678,0.1,17.03
Buenos Aires,NAVARRO,2,126.0,19888,0.1,6.34
Buenos Aires,CASTELLI,1,30.0,9551,0.1,3.14
Jujuy,SANTA BARBARA,2,64.0,20497,0.1,3.12
Mendoza,SANTA ROSA,2,94.0,19379,0.1,4.85
Neuquén,LACAR,4,172.0,39567,0.1,4.35
Buenos Aires,OLAVARRIA,11,2013.0,122011,0.09,16.5
Buenos Aires,SUIPACHA,1,34.0,11736,0.09,2.9
Buenos Aires,PEHUAJO,4,352.0,44594,0.09,7.89
Buenos Aires,GENERAL VIAMONTE,2,86.0,22530,0.09,3.82
Buenos Aires,BRANDSEN,3,183.0,32350,0.09,5.66
Buenos Aires,HIPOLITO YRIGOYEN,1,23.0,10581,0.09,2.17
Córdoba,SAN JUSTO,20,7160.0,228951,0.09,31.27
Corrientes,SAN ROQUE,2,94.0,22682,0.09,4.14
Chaco,CHACABUCO,3,183.0,34493,0.09,5.31
La Rioja,CORONEL FELIPE VARELA,1,26.0,11371,0.09,2.29
Misiones,SAN JAVIER,2,142.0,23080,0.09,6.15
Santa Fe,SAN JERONIMO,8,992.0,84617,0.09,11.72
Tucumán,TAFI DEL VALLE,2,78.0,22382,0.09,3.48
Buenos Aires,TAPALQUE,1,44.0,10695,0.09,4.11
Chaco,FRAY JUSTO SANTA MARIA DE ORO,1,39.0,10643,0.09,3.66
Entre Ríos,NOGOYA,4,504.0,42954,0.09,11.73
Santiago del Estero,BELGRANO,1,20.0,10809,0.09,1.85
