provincia,nombre_depto,cantidad_bp,cantidad_ee_comun,poblacion_total,bp_cada_1000,ee_cada_1000
Buenos Aires,ITUZAINGO,1,141.0,177983,0.01,0.79
Buenos Aires,SAN MIGUEL,4,1092.0,327650,0.01,3.33
Buenos Aires,CHIVILCOY,1,110.0,70554,0.01,1.56
Mendoza,MAIPU,3,435.0,218887,0.01,1.99
Misiones,ELDORADO,1,132.0,91133,0.01,1.45
Tucumán,CHICLIGASTA,1,88.0,92308,0.01,0.95
Buenos Aires,MORON,2,572.0,329517,0.01,1.74
Buenos Aires,ZARATE,1,133.0,131415,0.01,1.01
Buenos Aires,CAMPANA,1,130.0,107976,0.01,1.2
Buenos Aires,EZEIZA,2,302.0,198620,0.01,1.52
Buenos Aires,MERCEDES,1,120.0,71002,0.01,1.69
Córdoba,CAPITAL,20,22880.0,1498060,0.01,15.27
Tucumán,YERBA BUENA,1,68.0,102589,0.01,0.66
Buenos Aires,CHASCOMUS,0,86.0,42191,0.0,2.04
Buenos Aires,JOSE C. PAZ,0,174.0,326527,0.0,0.53
Buenos Aires,PRESIDENTE PERON,0,64.0,101994,0.0,0.63
Buenos Aires,PILA,0,28.0,4615,0.0,6.07
Buenos Aires,GENERAL BELGRANO,0,40.0,20674,0.0,1.93
Córdoba,POCHO,0,39.0,5070,0.0,7.69
Córdoba,TOTORAL,0,53.0,22473,0.0,2.36
Corrientes,BERON DE ASTRADA,0,9.0,2808,0.0,3.21
Chaco,1§ DE MAYO,0,27.0,14265,0.0,1.89
Chaco,ALMIRANTE BROWN,0,101.0,37794,0.0,2.67
Chaco,INDEPENDENCIA,0,49.0,21948,0.0,2.23
Chubut,FLORENTINO AMEGHINO,0,4.0,1782,0.0,2.24
Jujuy,VALLE GRANDE,0,14.0,2490,0.0,5.62
La Pampa,LIMAY MAHUIDA,0,4.0,413,0.0,9.69
La Rioja,VINCHINA,0,9.0,2695,0.0,3.34
La Rioja,INDEPENDENCIA,0,13.0,2399,0.0,5.42
Mendoza,LA PAZ,0,23.0,12018,0.0,1.91
Río Negro,9 DE JULIO,0,17.0,3682,0.0,4.62
Salta,CACHI,0,24.0,8928,0.0,2.69
Santa Cruz,MAGALLANES,0,8.0,12828,0.0,0.62
Tucumán,SIMOCA,0,81.0,36946,0.0,2.19
Buenos Aires,LEZAMA,0,22.0,6170,0.0,3.57
Catamarca,ANTOFAGASTA DE LA SIERRA,0,11.0,1822,0.0,6.04
Catamarca,ANCASTI,0,40.0,3282,0.0,12.19
Córdoba,MINAS,0,40.0,4855,0.0,8.24
Chaco,MAIPU,0,77.0,26354,0.0,2.92
Chubut,PASO DE INDIOS,0,7.0,1882,0.0,3.72
Formosa,PILAGAS,0,82.0,19089,0.0,4.3
La Pampa,CHALILEO,0,5.0,2868,0.0,1.74
La Pampa,CHICAL CO,0,7.0,1461,0.0,4.79
La Rioja,GENERAL JUAN F QUIROGA,0,32.0,4013,0.0,7.97
La Rioja,GENERAL OCAMPO,0,44.0,7347,0.0,5.99
Salta,IRUYA,0,32.0,6116,0.0,5.23
Salta,CHICOANA,0,27.0,24715,0.0,1.09
Santiago del Estero,MORENO,0,97.0,40352,0.0,2.4
Santiago del Estero,PELLEGRINI,0,107.0,26193,0.0,4.09
Santiago del Estero,SAN MARTIN,0,57.0,11183,0.0,5.1
Santiago del Estero,SALAVINA,0,62.0,12775,0.0,4.85
Santiago del Estero,SARMIENTO,0,25.0,5034,0.0,4.97
Santiago del Estero,GUASAYAN,0,38.0,9251,0.0,4.11
Tucumán,BURRUYACU,0,102.0,45459,0.0,2.24
Buenos Aires,DAIREAUX,0,51.0,18328,0.0,2.78
Buenos Aires,SALLIQUELO,0,16.0,9344,0.0,1.71
Corrientes,MBURUCUYA,0,29.0,11541,0.0,2.51
Corrientes,SAN MIGUEL,0,33.0,12700,0.0,2.6
Chaco,LIBERTAD,0,26.0,13775,0.0,1.89
Chubut,GASTRE,0,10.0,1181,0.0,8.47
Chubut,MARTIRES,0,3.0,744,0.0,4.03
Formosa,BERMEJO,0,124.0,15600,0.0,7.95
Jujuy,RINCONADA,0,18.0,1797,0.0,10.02
Jujuy,SANTA CATALINA,0,26.0,2641,0.0,9.84
La Pampa,PUELEN,0,21.0,11636,0.0,1.8
Salta,GUACHIPAS,0,13.0,3491,0.0,3.72
Salta,LA VIÑA,0,11.0,8888,0.0,1.24
Santa Cruz,CORPEN AIKE,0,15.0,15035,0.0,1.0
Santiago del Estero,AGUIRRE,0,23.0,8959,0.0,2.57
Tucumán,LULES,0,66.0,93464,0.0,0.71
Buenos Aires,GENERAL PAZ,0,47.0,14141,0.0,3.32
Buenos Aires,EXALTACION DE LA CRUZ,0,55.0,40036,0.0,1.37
Buenos Aires,FLORENTINO AMEGHINO,0,26.0,10759,0.0,2.42
Córdoba,SOBREMONTE,0,20.0,4381,0.0,4.57
Corrientes,SAN MARTIN,0,43.0,15164,0.0,2.84
Chaco,TAPENAGA,0,16.0,4051,0.0,3.95
Entre Ríos,VICTORIA,0,90.0,40301,0.0,2.23
Entre Ríos,FELICIANO,0,42.0,16717,0.0,2.51
Formosa,MATACOS,0,52.0,17017,0.0,3.06
Formosa,RAMON LISTA,0,111.0,17678,0.0,6.28
La Pampa,CURACO,0,6.0,1103,0.0,5.44
La Rioja,GENERAL SAN MARTIN,0,46.0,5017,0.0,9.17
La Rioja,ROSARIO VERA PEÑALOZA,0,52.0,15764,0.0,3.3
La Rioja,GENERAL LAMADRID,0,6.0,1885,0.0,3.18
San Juan,25 DE MAYO,0,59.0,20824,0.0,2.83
San Juan,ANGACO,0,30.0,10172,0.0,2.95
Santiago del Estero,MITRE,0,13.0,1440,0.0,9.03
Santiago del Estero,SILIPICA,0,32.0,9766,0.0,3.28
Santiago del Estero,FIGUEROA,0,96.0,20246,0.0,4.74
Tierra del Fuego,TOLHUIN,0,8.0,6027,0.0,1.33
