provincia,nombre_depto,ee_comun,cantidad_bp
Buenos Aires,CAÑUELAS,101,2
Chaco,ALMIRANTE BROWN,101,0
Santa Fe,SAN MARTIN,99,12
Buenos Aires,TRES ARROYOS,99,10
Entre Ríos,DIAMANTE,99,3
Catamarca,LA PAZ,99,2
Jujuy,SAN PEDRO,98,6
Santa Fe,9 DE JULIO,97,3
Corrientes,ESQUINA,97,1
Santiago del Estero,MORENO,97,0
Ciudad de Buenos Aires,Comuna 5,97,0
Río Negro,ADOLFO ALSINA,96,5
Santiago del Estero,FIGUEROA,96,0
Buenos Aires,LINCOLN,95,7
Buenos Aires,9 DE JULIO,95,2
Buenos Aires,CHACABUCO,94,2
Buenos Aires,CORONEL SUAREZ,93,3
Ciudad de Buenos Aires,Comuna 6,93,0
Santa Fe,CASEROS,92,10
Chaco,MAYOR LUIS J FONTANA,92,3
Santa Fe,CONSTITUCION,90,17
Entre Ríos,VICTORIA,90,0
Mendoza,LAVALLE,89,3
Buenos Aires,SAN VICENTE,89,2
Buenos Aires,BALCARCE,89,1
Buenos Aires,PEHUAJO,88,4
Tucumán,CHICLIGASTA,88,1
Catamarca,TINOGASTA,88,1
Entre Ríos,COLON,87,6
Chaco,QUITILIPI,87,3
Corrientes,SANTO TOME,87,2
Buenos Aires,BOLIVAR,86,4
Catamarca,SANTA MARIA,86,2
Buenos Aires,CHASCOMUS,86,0
Chubut,BIEDMA,85,7
Salta,ANTA,85,5
Santiago del Estero,CHOYA,85,2
Entre Ríos,GUALEGUAY,85,2
Mendoza,GENERAL ALVEAR,84,4
Santiago del Estero,AVELLANEDA,84,3
Ciudad de Buenos Aires,Comuna 2,84,0
San Juan,RIVADAVIA,83,8
Buenos Aires,GENERAL VILLEGAS,83,5
Santiago del Estero,LORETO,83,1
Santa Fe,SAN JUSTO,82,6
Buenos Aires,LOBOS,82,4
Corrientes,CURUZU CUATIA,82,2
Buenos Aires,SALADILLO,82,1
Formosa,PILAGAS,82,0
Buenos Aires,BERISSO,81,7
Santiago del Estero,ROBLES,81,4
Entre Ríos,FEDERAL,81,2
Tucumán,SIMOCA,81,0
Corrientes,LAVALLE,80,1
Santiago del Estero,ALBERDI,80,1
Tierra del Fuego,RIO GRANDE,78,7
Jujuy,LEDESMA,78,4
